entry,expiry,year,spot_entry,vix9d,vix3m,contango,short_strike,long_strike,credit,payout,pnl,win
2016-01-08,2016-01-15,2016,191.923,0.2798,0.2623,0.9374553252323088,185,180.0,0.4097728859270333,0.0,0.4097728859270333,True
2016-01-15,2016-01-22,2016,187.81,0.29600000000000004,0.2688,0.9081081081081079,180,175.0,0.3340703848119775,0.0,0.3340703848119775,True
2016-01-22,2016-01-29,2016,190.52,0.2259,0.24280000000000002,1.0748118636564854,180,175.0,0.05713919317402766,0.0,0.05713919317402766,True
2016-01-29,2016-02-05,2016,193.7208,0.1937,0.2266,1.1698502839442435,185,180.0,0.07712041525893187,0.0,0.07712041525893187,True
2016-02-05,2016-02-12,2016,187.95,0.2296,0.24480000000000002,1.0662020905923346,180,175.0,0.17239287996891695,0.0,0.17239287996891695,True
2016-02-12,2016-02-19,2016,186.63,0.2271,0.2623,1.1549977983267283,180,175.0,0.26923103055609854,0.0,0.26923103055609854,True
2016-02-19,2016-02-26,2016,192.0,0.1822,0.228,1.251372118551043,185,180.0,0.13524884180837993,0.0,0.13524884180837993,True
2016-02-26,2016-03-04,2016,195.0892,0.1856,0.2186,1.177801724137931,185,180.0,0.03166548612165185,0.0,0.03166548612165185,True
2016-03-04,2016-03-11,2016,200.43,0.1586,0.1963,1.237704918032787,190,185.0,0.011891917421386233,0.0,0.011891917421386233,True
2016-03-11,2016-03-18,2016,202.76,0.152,0.19469999999999998,1.2809210526315788,195,190.0,0.0564770960881929,0.0,0.0564770960881929,True
2016-03-18,2016-03-24,2016,204.38,0.1247,0.1793,1.4378508420208498,195,190.0,0.0025133074511872423,0.0,0.0025133074511872423,True
2016-04-01,2016-04-08,2016,206.92,0.1092,0.165,1.510989010989011,200,195.0,0.019227876280691232,0.0,0.019227876280691232,True
2016-04-08,2016-04-15,2016,204.4992,0.1359,0.1832,1.3480500367917587,195,190.0,0.00932727722531292,0.0,0.00932727722531292,True
2016-04-15,2016-04-22,2016,207.78,0.122,0.1716,1.4065573770491804,200,195.0,0.019588477001300897,0.0,0.019588477001300897,True
2016-04-22,2016-04-29,2016,208.97,0.1193,0.1664,1.3948030176026822,200,195.0,0.00648109605585606,0.0,0.00648109605585606,True
2016-04-29,2016-05-06,2016,206.3308,0.1479,0.1845,1.2474645030425964,200,195.0,0.12208537457553881,0.0,0.12208537457553881,True
2016-05-06,2016-05-13,2016,205.72,0.1338,0.1827,1.3654708520179373,195,190.0,0.0031361674175736987,0.0,0.0031361674175736987,True
2016-05-13,2016-05-20,2016,204.76,0.14150000000000001,0.1825,1.2897526501766783,195,190.0,0.01033401872529362,0.0,0.01033401872529362,True
2016-05-20,2016-05-27,2016,205.49,0.1273,0.1805,1.4179104477611941,195,190.0,0.0024124455263729305,0.0,0.0024124455263729305,True
2016-05-27,2016-06-03,2016,210.24,0.0977,0.1631,1.669396110542477,200,195.0,0.00021762728784104288,0.0,0.00021762728784104288,True
2016-06-03,2016-06-10,2016,210.28,0.1011,0.1649,1.6310583580613254,200,195.0,0.00032288224684494805,0.0,0.00032288224684494805,True
2016-06-10,2016-06-17,2016,210.07,0.1583,0.1894,1.1964624131396084,200,195.0,0.021429262059397394,0.0,0.021429262059397394,True
2016-06-17,2016-06-24,2016,206.52,0.22,0.21309999999999998,0.9686363636363635,200,195.0,0.3488813589783595,0.0,0.3488813589783595,True
2016-06-24,2016-07-01,2016,203.2425,0.3071,0.23929999999999998,0.7792250081406707,195,190.0,0.3945511776184434,0.0,0.3945511776184434,True
2016-07-01,2016-07-08,2016,209.9208,0.1185,0.1765,1.489451476793249,200,195.0,0.0026539617907402305,0.0,0.0026539617907402305,True
2016-07-08,2016-07-15,2016,212.65,0.1143,0.1649,1.442694663167104,205,200.0,0.016919058867466075,0.0,0.016919058867466075,True
2016-07-15,2016-07-22,2016,215.83,0.1026,0.15990000000000001,1.5584795321637428,205,200.0,0.00028349982385940896,0.0,0.00028349982385940896,True
2016-07-22,2016-07-29,2016,217.24,0.10220000000000001,0.158,1.5459882583170252,210,205.0,0.013352758016124662,0.0,0.013352758016124662,True
2016-07-29,2016-08-05,2016,217.12,0.1001,0.1542,1.5404595404595405,210,205.0,0.012861732488614263,0.0,0.012861732488614263,True
2016-08-05,2016-08-12,2016,218.18,0.09179999999999999,0.1514,1.6492374727668848,210,205.0,0.002216855897154043,0.0,0.002216855897154043,True
